Index,Comparator,E_S,E_F,Gap,Threshold,,Outcome
2,W,22.716,10.880,11.836,2.371,0.479,fixed
2,C,22.716,5.968,16.748,2.368,0.263,fixed
4,W,79.943,77.374,2.569,1.719,0.968,fixed
4,C,79.943,6.692,73.251,1.903,0.084,fixed
7,W,100.825,14.940,85.885,1.652,0.148,fixed
7,C,100.825,3.948,96.877,1.806,0.039,fixed
8,W,18.971,201.139,182.168,1.240,10.603,schedule
8,C,18.971,5.740,13.230,1.352,0.303,fixed
12,W,85.858,27.282,58.576,6.100,0.318,fixed
12,C,85.858,1.762,84.096,6.045,0.021,fixed
19,W,620.754,6.275,614.479,1.346,0.010,fixed
19,C,620.754,1.956,618.798,1.357,0.003,fixed
20,W,38.116,239.690,201.574,4.426,6.288,schedule
20,C,38.116,7.683,30.433,4.441,0.202,fixed
27,W,326.356,4.768,321.587,3.207,0.015,fixed
27,C,326.356,0.711,325.645,3.328,0.002,fixed
28,W,9.766,71.557,61.791,1.156,7.327,schedule
28,C,9.766,4.272,5.494,1.406,0.437,fixed
29,W,23.404,38.504,15.101,2.021,1.645,schedule
29,C,23.404,13.801,9.603,2.026,0.590,fixed
33,W,50.754,27.560,23.194,1.832,0.543,fixed
33,C,50.754,3.292,47.462,1.935,0.065,fixed
34,W,14.221,16.042,1.822,2.260,1.128,unresolved
34,C,14.221,3.772,10.449,2.261,0.265,fixed
36,W,49.332,228.386,179.054,5.344,4.630,schedule
36,C,49.332,9.692,39.640,5.093,0.196,fixed
42,W,63.576,4.527,59.049,0.454,0.071,fixed
42,C,63.576,3.199,60.378,0.467,0.050,fixed
48,W,55.843,96.811,40.968,2.127,1.734,schedule
48,C,55.843,1.195,54.648,2.208,0.021,fixed
51,W,54.128,71.633,17.505,3.452,1.323,schedule
51,C,54.128,1.806,52.322,3.463,0.033,fixed
59,W,231.881,12.115,219.766,7.818,0.052,fixed
59,C,231.881,0.396,231.486,7.823,0.002,fixed
