Index,E_emp [m],E_up [m],E_down [m],Saving [%],f_I,Epochs
0,322.236,173.650,320.155,18.47,0.9975,5041
1,345.881,72.891,171.984,10.97,0.9990,5041
2,18.544,73.847,22.975,12.55,0.9960,5041
3,48.722,52.175,51.555,15.75,0.9985,5041
4,99.170,20.485,26.685,44.10,0.9961,5041
5,64.321,26.106,101.572,23.29,0.9976,5041
6,80.980,46.400,133.136,19.82,0.9964,5041
7,110.610,26.725,11.973,32.73,0.9989,5041
8,29.572,215.871,150.368,33.24,0.9951,5041
9,173.404,100.378,119.264,29.44,0.9991,5041
10,77.167,56.932,46.444,25.04,0.9973,5041
11,252.490,14.414,32.990,58.29,0.9986,5041
12,95.641,36.378,154.634,33.66,0.9955,5041
13,176.552,48.575,259.970,22.43,0.9996,5041
14,52.522,126.871,45.309,13.30,0.9972,5041
15,127.632,86.813,95.315,20.67,0.9998,5041
16,24.111,51.993,54.569,37.42,0.9965,5041
17,66.304,28.108,30.467,3.43,0.9993,5041
18,118.116,37.407,134.898,22.89,0.9962,5041
19,639.134,18.988,293.208,16.74,0.9987,5041
20,11.475,37.047,38.209,45.47,0.9798,5041
21,264.001,58.165,80.594,16.56,0.9991,5041
22,45.720,103.290,129.183,24.06,0.9982,5041
23,97.848,50.932,17.625,51.52,0.9997,5041
24,349.870,115.075,20.762,39.11,0.9968,5041
25,35.388,63.897,52.537,27.15,0.9985,5041
26,140.236,42.068,190.147,19.08,0.9984,5041
27,287.464,7.098,470.807,34.72,0.9995,5041
28,60.353,94.141,37.757,38.98,0.9975,5041
29,44.916,73.235,137.987,16.81,0.9994,5041
30,479.604,88.169,313.673,27.91,0.9973,5041
31,128.319,29.399,75.350,31.28,0.9989,5041
32,489.660,53.901,700.153,8.01,0.9980,5041
33,32.377,75.046,122.736,30.02,0.9877,5041
34,19.638,34.642,14.823,20.26,0.9973,5041
35,79.735,23.437,132.996,25.63,0.9974,5041
36,40.481,104.995,11.221,37.37,0.9952,5041
37,170.805,50.251,52.940,19.15,0.9997,5041
38,258.515,68.311,179.281,14.45,0.9976,5041
39,180.148,15.038,101.724,44.24,0.9996,5041
40,256.000,102.293,111.963,7.10,0.9962,5041
41,280.701,116.805,13.813,36.53,0.9995,5041
42,55.561,23.037,46.985,26.78,0.9978,5041
43,202.537,35.798,245.596,53.73,0.9991,5041
44,45.724,94.729,71.629,5.09,0.9976,5041
45,66.623,11.888,112.327,18.77,0.9996,5041
46,127.385,40.588,32.467,11.19,0.9964,5041
47,515.635,63.364,304.494,13.40,0.9988,5041
48,57.414,46.239,31.018,47.28,0.9952,5041
49,315.356,168.804,47.135,26.51,0.9992,5041
50,250.870,134.365,81.371,19.10,0.9982,5041
51,54.929,147.783,83.404,40.98,0.9992,5041
52,241.794,70.949,161.635,41.49,0.9973,5041
53,64.573,16.118,113.185,17.48,0.9994,5041
54,110.301,73.112,51.133,36.17,0.9966,5041
55,77.754,38.080,128.886,26.99,0.9982,5041
56,124.180,45.557,11.008,35.01,0.9981,5041
57,340.639,41.598,257.669,13.61,0.9998,5041
58,36.898,17.770,216.237,13.05,0.9971,5041
59,251.812,127.736,217.749,32.10,0.9987,5041
60,360.391,172.792,75.882,19.27,0.9964,5041
61,220.019,24.170,314.572,17.77,0.9993,5041
62,72.239,79.217,21.475,22.51,0.9975,5041
63,96.038,99.590,148.347,11.70,0.9994,5041
