idx,h_p [km],N_crit,N_At(r_p),N_truth,f_cap [%],_a [m s^-2],E_At [m s^-2],_a/E_At,w
0,85,123,300,300,17,2.5810^-6,0^*,-,2.29
1,105,102,294,300,0,2.1210^-6,8.3010^-12,2.610^5,3.51
2,150,74,220,300,0,1.8710^-6,4.8510^-12,3.810^5,3.35
3,50,195,300,300,51,4.1110^-6,0^*,-,1.66
4,35,250,900,900,27,5.7910^-6,0^*,-,4.91
5,134,82,237,300,0,2.1110^-6,1.2410^-11,1.710^5,5.55
6,90,117,299,300,9,2.3810^-6,2.2710^-11,1.010^5,2.19
7,70,146,300,300,25,3.5410^-6,0^*,-,2.28
8,65,156,300,300,23,4.8110^-6,0^*,-,1.65
9,105,102,293,300,0,2.1810^-6,1.0310^-11,2.110^5,3.84
10,121,90,259,300,0,1.8910^-6,8.7510^-12,2.210^5,2.41
11,39,241,600,600,4,5.6510^-6,0^*,-,2.06
12,55,181,300,300,28,5.3510^-6,0^*,-,1.12
13,136,81,237,300,0,2.1610^-6,1.0310^-11,2.110^5,3.28
14,120,91,281,300,0,1.8610^-6,3.0310^-12,6.110^5,2.88
15,80,130,300,300,25,2.7910^-6,0^*,-,3.61
16,78,134,300,300,15,2.6810^-6,0^*,-,1.82
17,113,95,277,300,0,2.4410^-6,1.2210^-11,2.010^5,4.85
18,142,78,220,300,0,1.9010^-6,1.2610^-11,1.510^5,2.15
19,58,172,300,300,40,5.4710^-6,0^*,-,1.76
20,43,224,600,600,8,5.4010^-6,0^*,-,2.21
21,127,86,258,300,0,2.0210^-6,3.9010^-12,5.210^5,3.13
22,98,109,299,300,0,2.2310^-6,6.4710^-12,3.410^5,2.80
23,62,161,300,300,20,5.6010^-6,0^*,-,1.89
24,72,142,300,300,19,2.8810^-6,0^*,-,1.68
25,97,109,299,300,0,2.3110^-6,7.0910^-12,3.310^5,3.44
26,128,85,258,300,0,2.0710^-6,3.2310^-12,6.410^5,2.67
27,32,250,899,900,0,1.0010^-5,8.8810^-12,1.110^6,5.65
28,47,206,853,900,0,4.4510^-6,2.5910^-13,1.710^7,3.72
29,143,77,220,300,0,1.9310^-6,1.0510^-11,1.810^5,4.76
30,112,96,278,300,0,2.2310^-6,1.1810^-11,1.910^5,2.44
31,87,121,300,300,2,2.3910^-6,0^*,-,2.55
32,88,119,300,300,19,2.4510^-6,0^*,-,2.84
33,110,98,293,300,0,2.2810^-6,4.8510^-12,4.710^5,4.41
34,146,76,221,300,0,1.7810^-6,7.3510^-12,2.410^5,2.68
35,46,210,600,600,22,4.5910^-6,0^*,-,3.51
36,31,250,899,900,0,1.1710^-5,1.4310^-11,8.210^5,4.45
37,131,84,238,300,0,2.0310^-6,1.7310^-11,1.210^5,3.44
38,95,112,299,300,0,2.2710^-6,1.1210^-11,2.010^5,2.70
39,73,140,300,300,20,2.9110^-6,0^*,-,3.13
40,62,163,300,300,33,5.3610^-6,0^*,-,1.56
41,101,106,293,300,0,2.5110^-6,2.0610^-11,1.210^5,2.52
42,124,88,259,300,0,1.9910^-6,5.4610^-12,3.610^5,2.71
43,44,220,600,600,5,5.3410^-6,0^*,-,3.05
44,59,170,300,300,34,5.6810^-6,0^*,-,1.53
45,139,79,238,300,0,2.0310^-6,5.9510^-12,3.410^5,5.34
46,116,93,279,300,0,2.0510^-6,6.3510^-12,3.210^5,2.55
47,77,135,300,300,29,2.7910^-6,0^*,-,2.69
48,81,129,300,300,5,2.7210^-6,0^*,-,1.60
49,117,92,279,300,0,2.1610^-6,5.1410^-12,4.210^5,3.55
50,139,80,237,300,0,2.1410^-6,7.0510^-12,3.010^5,2.42
51,54,184,300,300,44,5.2910^-6,0^*,-,1.88
52,39,246,600,600,28,4.9710^-6,0^*,-,2.62
53,124,88,258,300,0,2.0310^-6,6.1810^-12,3.310^5,3.99
54,102,104,292,300,0,2.7210^-6,1.8310^-11,1.510^5,1.99
55,66,154,300,300,31,4.6110^-6,0^*,-,1.91
56,69,148,300,300,22,4.1410^-6,0^*,-,1.68
57,93,113,299,300,0,2.5510^-6,1.4310^-11,1.810^5,4.69
58,132,83,237,300,0,2.1910^-6,1.8010^-11,1.210^5,2.27
59,36,250,900,900,28,5.0010^-6,0^*,-,6.03
60,51,192,300,300,37,4.3610^-6,0^*,-,1.23
61,147,76,221,300,0,1.7410^-6,6.9010^-12,2.510^5,3.44
62,108,99,294,300,0,2.0110^-6,5.2610^-12,3.810^5,2.79
63,84,125,300,300,26,2.4410^-6,0^*,-,3.41
