idx,h_p [km],N_crit,N_At(r_p),N_truth,f_cap [%],_a [m s^-2],E_At [m s^-2],_a/E_At,w
0,61,164,300,300,25,5.4710^-6,0^*,-,1.36
1,95,112,299,300,0,2.2710^-6,1.1210^-11,2.010^5,3.30
2,127,86,258,300,0,2.0710^-6,4.1510^-12,5.010^5,3.30
3,33,250,900,900,28,8.7510^-6,0^*,-,6.14
4,55,180,300,300,25,5.1710^-6,0^*,-,1.18
5,150,74,220,300,0,1.8710^-6,4.8610^-12,3.810^5,5.58
6,118,92,279,300,0,2.1010^-6,4.7210^-12,4.410^5,2.08
7,83,126,300,300,26,2.5810^-6,0^*,-,2.80
8,78,133,300,300,15,2.7010^-6,0^*,-,2.01
9,111,97,279,300,0,2.0510^-6,1.2410^-11,1.610^5,3.75
10,140,79,238,300,0,1.9910^-6,5.6210^-12,3.510^5,2.03
11,46,210,853,900,0,4.5110^-6,3.8810^-13,1.210^7,3.14
12,38,248,900,900,0,4.2610^-6,0^*,-,2.96
13,132,83,237,300,0,2.0910^-6,1.5810^-11,1.310^5,3.45
14,104,103,293,300,0,2.2510^-6,1.1510^-11,2.010^5,2.59
15,70,146,300,300,45,3.5710^-6,0^*,-,3.02
16,72,143,300,300,17,2.9210^-6,0^*,-,1.79
17,99,108,299,300,0,2.2410^-6,5.8110^-12,3.910^5,5.20
18,131,84,237,300,0,2.0910^-6,2.0610^-11,1.010^5,2.37
19,44,219,847,900,0,5.3510^-6,1.4210^-12,3.810^6,5.09
20,52,189,300,300,31,4.7810^-6,0^*,-,1.11
21,138,80,236,300,0,2.2510^-6,8.4010^-12,2.710^5,3.72
22,106,101,293,300,0,2.3610^-6,9.3110^-12,2.510^5,2.83
23,80,130,300,300,25,2.7710^-6,0^*,-,2.99
24,89,118,300,300,10,2.4210^-6,0^*,-,2.19
25,115,94,279,300,0,2.1410^-6,6.6810^-12,3.210^5,3.14
26,144,77,220,300,0,1.9210^-6,1.0310^-11,1.910^5,2.85
27,57,174,300,300,44,4.9010^-6,0^*,-,2.05
28,35,250,900,900,22,6.0210^-6,0^*,-,4.84
29,121,90,259,300,0,1.9310^-6,9.2510^-12,2.110^5,4.80
30,92,114,299,300,0,2.5410^-6,1.6110^-11,1.610^5,1.68
31,67,152,300,300,10,4.0710^-6,0^*,-,1.85
32,65,157,300,300,31,4.9110^-6,0^*,-,1.80
33,91,116,299,300,0,2.2610^-6,1.9710^-11,1.110^5,3.81
34,123,89,259,300,0,1.8810^-6,6.5210^-12,2.910^5,2.06
35,36,250,900,900,1,4.9410^-6,0^*,-,2.65
36,59,168,300,300,32,5.6110^-6,0^*,-,1.45
37,145,77,221,300,0,1.8010^-6,8.5810^-12,2.110^5,3.42
38,113,95,277,300,0,2.3910^-6,1.1510^-11,2.110^5,2.48
39,87,120,300,300,28,2.4210^-6,0^*,-,4.21
40,82,128,300,300,14,2.6810^-6,0^*,-,1.78
41,108,99,294,300,0,2.0510^-6,5.6110^-12,3.710^5,3.57
42,136,81,237,300,0,2.1310^-6,9.9710^-12,2.110^5,2.93
43,50,197,859,900,0,3.6810^-6,5.1410^-14,7.210^7,8.36
44,43,225,848,900,0,5.2710^-6,2.6810^-12,2.010^6,2.74
45,128,85,258,300,0,2.1010^-6,3.3610^-12,6.210^5,5.30
46,100,107,299,300,0,2.4210^-6,4.6610^-12,5.210^5,2.33
47,75,138,300,300,24,2.7810^-6,0^*,-,2.27
48,69,149,300,300,18,4.2010^-6,0^*,-,1.53
49,102,104,292,300,0,2.7210^-6,1.8310^-11,1.510^5,3.16
50,134,82,237,300,0,2.1510^-6,1.3110^-11,1.610^5,2.64
51,40,236,846,900,10,5.5810^-6,8.2010^-12,6.810^5,6.29
52,47,205,854,900,0,4.3710^-6,2.0110^-13,2.210^7,3.24
53,142,78,220,300,0,1.9010^-6,1.2610^-11,1.510^5,4.47
54,110,98,278,300,0,2.2110^-6,1.6810^-11,1.310^5,2.36
55,76,137,300,300,19,2.6310^-6,0^*,-,2.43
56,86,123,300,300,10,2.4610^-6,0^*,-,2.21
57,119,91,280,300,0,1.9510^-6,3.5610^-12,5.510^5,4.74
58,147,76,221,300,0,1.7210^-6,6.6410^-12,2.610^5,2.55
59,54,184,300,300,34,5.3410^-6,0^*,-,1.35
60,31,250,899,900,0,1.2810^-5,1.8810^-11,6.810^5,3.16
61,125,87,257,300,0,2.2110^-6,6.6610^-12,3.310^5,4.10
62,97,110,299,300,0,2.1610^-6,7.7010^-12,2.810^5,2.78
63,63,161,300,300,38,5.5310^-6,0^*,-,2.23
