Orbit,h_p,N_crit,k=0.00,k=0.25,k=0.50,k=0.75,k=1.00,best
,[km],,[m],[m],[m],[m],[m],
36,31,250,9.56,0.03,0.05,6.88,4330.57,0.25
27,32,250,0.98,0.38,0.52,15.45,720.44,0.25
4,35,250,7.02,0.10,0.01,53.69,7300.48,0.50
59,36,250,0.37,1.84,0.68,15.85,1486.56,0.00
52,39,246,3.65,0.46,0.05,0.24,11.02,0.50
11,39,241,0.34,0.17,0.06,0.02,0.31,0.75
20,43,224,7.78,0.53,0.07,0.01,0.32,0.75
43,44,220,0.29,0.22,0.24,0.39,7.19,0.25
35,46,210,0.19,0.37,0.08,0.55,69.29,0.50
28,47,206,4.15,0.26,0.04,0.13,18.50,0.50
3,50,195,2.85,1.36,1.45,1.19,1.95,0.75
60,51,192,6.75,0.46,0.34,0.25,0.00,1.00
51,54,184,1.51,2.07,0.34,0.60,2.72,0.50
12,55,181,1.88,0.08,0.04,0.06,0.00,1.00
19,58,172,1.98,0.35,0.12,0.13,6.09,0.50
44,59,170,0.78,0.59,0.14,0.01,0.05,0.75
40,62,163,2.65,0.47,0.07,0.13,0.13,0.50
23,62,161,0.51,0.37,0.14,0.57,0.87,0.50
8,65,156,5.73,0.58,0.05,0.09,0.47,0.50
55,66,154,8.48,0.95,0.27,0.60,11.32,0.50
56,69,148,0.48,1.12,0.06,0.04,2.13,0.75
7,70,146,3.89,1.58,0.16,0.90,12.19,0.50
24,72,142,0.97,0.27,0.15,0.01,3.51,0.75
39,73,140,3.07,1.11,2.73,1.60,7.64,0.25
47,77,135,23.61,2.31,0.62,3.37,21.24,0.50
16,78,134,0.54,0.34,0.29,0.25,20.35,0.75
15,80,130,6.04,0.71,1.40,4.43,14.19,0.25
48,81,129,1.26,0.20,0.04,0.02,1.40,0.75
63,84,125,1.16,1.06,1.78,2.90,75.42,0.25
0,85,123,14.16,0.41,0.15,0.44,22.60,0.50
31,87,121,0.27,1.31,0.50,2.71,48.17,0.00
32,88,119,6.75,2.89,0.41,2.13,98.03,0.50
6,90,117,1.87,0.28,0.07,1.01,25.41,0.50
57,93,113,3.49,10.32,10.62,19.59,35.44,0.00
38,95,112,8.31,2.57,0.83,0.21,14.50,0.75
25,97,109,2.51,1.45,1.03,2.53,50.97,0.50
22,98,109,1.42,0.96,0.13,1.13,38.10,0.50
41,101,106,3.49,1.66,2.23,2.21,10.95,0.25
54,102,104,6.94,1.06,0.74,0.54,15.92,0.75
9,105,102,5.45,7.00,0.58,22.48,11.13,0.50
1,105,102,15.52,5.74,7.07,2.62,15.08,0.75
62,108,99,1.92,1.16,0.91,6.56,47.02,0.50
33,110,98,3.30,7.64,8.37,2.59,45.58,0.75
30,112,96,1.08,0.70,0.07,2.74,28.02,0.50
17,113,95,4.55,17.33,26.10,9.85,94.37,0.00
46,116,93,7.59,0.79,1.20,1.16,37.54,0.25
49,117,92,6.57,5.17,3.63,18.35,20.56,0.50
14,120,91,3.23,1.42,1.92,1.12,28.10,0.75
10,121,90,3.78,3.85,0.45,2.81,48.55,0.50
53,124,88,3.91,1.22,1.57,3.72,10.93,0.25
42,124,88,3.25,0.96,1.15,1.74,38.78,0.25
21,127,86,6.85,6.24,0.97,12.15,61.40,0.50
26,128,85,3.59,2.71,1.03,4.45,4.89,0.50
37,131,84,0.55,9.19,1.94,3.03,3.56,0.00
58,132,83,0.52,1.38,0.62,1.59,14.41,0.00
5,134,82,1.40,6.79,32.92,37.21,32.22,0.00
13,136,81,6.86,14.45,3.57,10.55,14.91,0.50
50,139,80,5.02,1.22,0.51,2.23,31.71,0.50
45,139,79,6.41,28.53,14.63,15.20,109.98,0.00
18,142,78,10.18,1.42,0.16,3.49,7.72,0.50
29,143,77,13.75,34.33,32.12,17.12,57.80,0.00
34,146,76,3.77,5.86,3.14,1.07,34.61,0.75
61,147,76,2.70,7.94,11.30,4.23,74.03,0.00
2,150,74,5.96,9.06,16.23,13.37,156.20,0.00
