Orbit,,E_sched [m],N_work^,_work^,_crit,t_grav/t_crit,"res. (w,c)",N range
c1_circ100_polar,1.00,60.7,106,0.213,0.356,1.01,"n,n",60-250
,1.10,30.9,126,0.932,0.699,1.37,"n,n",70-280
,1.20,36.7,132,0.258,0.589,1.57,"n,n",80-290
,1.30,17.6,142,1.685,1.229,1.94,"n,n",80-290
,1.50,20.8,162,0.549,1.038,2.15,"n,n",90-290
c2_50x300_polar,1.00,846.1,123,0.032,0.015,0.55,"y,y",60-250
,1.10,203.5,140,0.021,0.062,0.65,"y,y",70-280
,1.20,96.9,155,0.193,0.130,0.80,"y,y",80-290
,1.30,51.2,166,0.179,0.247,0.88,"n,n",80-290
,1.50,23.2,190,0.289,0.545,1.10,"n,n",90-290
c3_50x300_i60,1.00,85.8,117,0.341,0.063,0.47,"n,n",60-250
,1.10,16.9,134,0.321,0.319,0.58,"n,n",70-280
,1.20,60.8,148,0.287,0.089,0.61,"n,y",80-290
,1.30,7.5,158,0.449,0.721,0.76,"n,n",80-290
,1.50,26.8,181,0.196,0.201,0.93,"n,n",90-290
c4_50x300_i5,1.00,13.4,169,1.750,0.983,0.91,"n,n",60-250
,1.10,38.1,197,0.543,0.345,1.04,"n,n",70-280
,1.20,53.8,209,0.156,0.244,1.15,"y,n",80-290
,1.30,21.9,215,0.389,0.601,1.38,"n,n",80-290
,1.50,3.0,225,5.617,4.316,1.25,"n,n",90-290
c5_100x300_polar,1.00,139.5,77,0.136,0.040,0.70,"n,y",60-250
,1.10,147.1,89,0.101,0.038,0.93,"y,y",70-280
,1.20,25.0,97,0.106,0.222,0.94,"n,n",80-290
,1.30,8.0,103,0.725,0.692,0.98,"n,n",80-290
,1.50,18.3,117,1.409,0.303,1.22,"n,n",90-290
c6_lro_30x216,1.00,28.6,173,1.386,0.359,0.59,"n,n",60-250
,1.10,26.0,199,1.423,0.396,0.74,"n,n",70-280
,1.20,12.5,216,1.343,0.819,0.84,"n,n",80-300
,1.30,7.4,236,0.884,1.381,0.98,"n,n",80-330
,1.50,4.3,274,1.504,2.373,1.28,"n,n",90-380
