altitude_km,N_eps1e-1,N_eps1e-2,N_eps1e-3,N_p95_eps1e-2,N_p99_eps1e-2,N_sampled_rms_eps1e-2
20,123,270,449,,,
30,91,194,307,230,250,200
40,73,153,238,,,
50,61,127,196,150,160,130
60,53,109,167,,,
70,46,95,146,,,
80,41,85,130,100,110,90
90,37,77,117,,,
100,34,70,107,80,90,70
110,31,64,98,,,
120,28,59,90,,,
130,26,56,84,,,
140,25,52,79,,,
150,23,49,74,60,60,50
160,21,46,70,,,
180,19,41,63,,,
200,18,37,58,50,50,40
220,16,35,53,,,
240,14,32,49,,,
260,13,29,45,,,
280,13,28,42,,,
300,12,26,40,,,
